Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44230,"The Silver Pigs (Marcus Didius Falco, #1)",Lindsey Davis,"Davis, Lindsey",,"=""031235777X""","=""9780312357771""",0,Minotaur Books,Mass Market Paperback,329,2006,1989,,2025/09/24,to-read,to-read (#295),to-read,,,,0,0
10837966,"Tribune of Rome (Vespasian, #1)",Robert Fabbri,"Fabbri, Robert",,"=""1848879091""","=""9781848879096""",0,Corvus,Hardcover,384,2011,2011,,2025/09/24,to-read,to-read (#294),to-read,,,,0,0
51893,Thus Spoke Zarathustra,Friedrich Nietzsche,"Nietzsche, Friedrich","Walter Kaufmann, Silvia Cecchini, Domenico Ciampoli","=""""","=""""",0,Penguin Books,Paperback,327,1978,1883,,2025/09/20,to-read,to-read (#293),to-read,,,,0,0
219265,"Le Morte D'Arthur, Volume I",Thomas Malory,"Malory, Thomas","Alfred W. Pollard, John Lawlor, William Caxton, Janet Cowen","=""0140430431""","=""9780140430431""",0,Penguin Books,Paperback,489,2004,1485,,2025/09/20,to-read,to-read (#292),to-read,,,,0,0
228083603,"Fly, Wild Swans: My Mother, Myself and China",Jung Chang,"Chang, Jung",,"=""0008661081""","=""9780008661083""",0,William Collins,Kindle Edition,315,2025,2025,,2025/09/18,to-read,to-read (#291),to-read,,,,0,0
1848,Wild Swans: Three Daughters of China,Jung Chang,"Chang, Jung",,"=""""","=""""",0,Simon & Schuster,Paperback,562,2003,1991,,2025/09/18,to-read,to-read (#290),to-read,,,,0,0
4326206,"Ghost Hunter (Chronicles of Ancient Darkness, #6)",Michelle Paver,"Paver, Michelle",,"=""1842551752""","=""9781842551752""",0,Orion Childrens,Hardcover,245,2009,2009,,2025/08/27,,,read,,,,1,0
3081438,"Oath Breaker (Chronicles of Ancient Darkness, #5)",Michelle Paver,"Paver, Michelle",,"=""1842551744""","=""9781842551745""",0,Orion Children's Books,Hardcover,224,2008,2008,,2025/08/27,,,read,,,,1,0
870821,"Outcast (Chronicles of Ancient Darkness, #4)",Michelle Paver,"Paver, Michelle",,"=""1842551736""","=""9781842551738""",0,Orion Childrens Books,Hardcover,224,2007,2007,,2025/08/27,,,read,,,,1,0
1223288,"Soul Eater (Chronicles of Ancient Darkness, #3)",Michelle Paver,"Paver, Michelle",,"=""1842551140""","=""9781842551141""",0,Orion Childrens,Paperback,276,2007,2006,,2025/08/27,,,read,,,,1,0
34866292,Spirit Walker (Chronicles of Ancient Darkness #2),Michelle Paver,"Paver, Michelle",,"=""1842555235""","=""9781842555231""",0,Orion Publishing Group,Paperback,288,2006,2005,,2025/08/27,,,read,,,,1,0
911865,Wolf Brother (Chronicles of Ancient Darkness #1),Michelle Paver,"Paver, Michelle",,"=""1842551310""","=""9781842551318""",0,Orion Children's Books,Paperback,242,2005,2004,,2025/08/27,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",0,William Morrow Paperbacks,Paperback,208,2006,2002,,2025/08/26,to-read,to-read (#289),to-read,,,,0,0
18335634,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"Clare, Cassandra",,"=""1406321346""","=""9781406321340""",0,Walker Books Ltd,Paperback,567,2013,2013,,2025/08/26,,,read,,,,1,0
10025305,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"Clare, Cassandra",,"=""1416975888""","=""9781416975885""",0,Margaret K. McElderry Books,Hardcover,498,2011,2011,,2025/08/26,,,read,,,,1,0
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416975861""","=""9781416975861""",0,Margaret K. McElderry Books,Hardcover,479,2010,2010,,2025/08/26,,,read,,,,1,0
8755785,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,"Clare, Cassandra",,"=""1481426303""","=""9781481426305""",0,Margaret K. McElderry Books,Hardcover,725,2014,2014,,2025/08/26,,,read,,,,1,0
8755776,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,"Clare, Cassandra",,"=""1442416866""","=""9781442416864""",0,Margaret K. McElderry Books,Hardcover,535,2012,2012,,2025/08/26,,,read,,,,1,0
6752378,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"Clare, Cassandra",,"=""1442403543""","=""9781442403543""",0,Margaret K. McElderry Books,Hardcover,425,2011,2011,,2025/08/26,,,read,,,,1,0
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"Clare, Cassandra",,"=""1416914307""","=""9781416914303""",0,Margaret K. McElderry Books,Hardcover,560,2009,2009,,2025/08/26,,,read,,,,1,0
